"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,66114293,66729683,4166066,81839019,0,1355217,1393824,91625,498514052305,0.176703283677667
0,66103494,66724885,4175886,82087019,0,1356625,1398933,92305,498498952305,0.177476867094951
0,66096294,66707687,4185596,82567019,0,1363831,1405941,92795,498480752305,0.178283765738215
0,66074795,66722087,4183106,82754019,0,1365540,1411151,93685,498461152305,0.179009622038565
0,66070295,66706987,4189806,83221019,0,1369850,1416156,94485,498450952305,0.179711249516994
0,66035195,66721487,4196406,83469019,0,1374660,1421563,95085,498439352305,0.180503228678082
0,66026096,66685990,4226306,83957019,0,1383773,1427770,95485,498424552305,0.18126612508541
0,66016996,66653790,4255316,84224019,0,1392175,1430379,95875,498409952305,0.182241024841661
0,65983197,66666890,4261916,84604019,0,1396881,1437483,96575,498396652305,0.182952403406686
0,65979098,66638290,4280616,84842019,0,1401288,1446890,97275,498388852305,0.183612476335067
0,65975998,66632890,4276246,84978019,0,1404493,1452395,98145,498378952305,0.184344928901382
0,65942298,66650091,4283946,85568019,0,1408904,1455307,98745,498364352305,0.185022320121115
0,65939698,66615291,4311546,85548019,0,1411816,1460314,99745,498348752305,0.185884993101358
0,65931298,66596891,4320046,85788019,0,1420028,1469024,100745,498338752305,0.18658378356912
0,65925598,66570691,4339646,85856019,0,1425540,1475244,101645,498322952305,0.187287940422719
0,65922898,66526691,4366356,86156019,0,1428845,1488944,102635,498308552305,0.188090307339135
0,65917099,66524191,4364786,86445019,0,1434852,1492144,103405,498292352305,0.188970931478772
0,65912603,66517091,4360496,86774019,0,1440059,1498854,104095,498277252305,0.189729144926568
0,65898704,66493392,4389216,87253019,0,1444170,1503274,104775,498264752305,0.190543662398792
0,65881605,66501193,4386916,87621019,0,1451484,1505594,105675,498256852305,0.191296651055895
0,65867405,66485393,4400826,88009019,0,1455395,1511494,106265,498239852305,0.192058716573629
0,65841306,66489295,4410536,88129019,0,1461305,1516994,107155,498217252305,0.192893894194427
0,65813106,66491295,4418356,88379019,0,1469312,1525094,108035,498205252305,0.193625442685663
0,65806606,66483997,4416866,88559019,0,1475518,1532494,108825,498189352305,0.194398472321827
0,65780407,66458898,4453676,88828019,0,1481628,1537094,109715,498166752305,0.195291789157205
0,65773107,66402999,4501406,89318019,0,1488638,1543094,110485,498150652305,0.196106097048083
0,65751907,66406699,4506906,89776019,0,1489848,1549304,111585,498131052305,0.19691102692356
0,65706507,66423602,4521306,89846019,0,1494748,1552504,112885,498111052305,0.197779789091383
0,65688508,66411304,4538016,90525019,0,1502848,1554634,114075,498098652305,0.198621579888683
0,65651809,66416004,4553636,90585019,0,1509548,1560434,114955,498078752305,0.199468220418322
0,65630109,66417804,4560956,90903019,0,1511648,1568544,115935,498052852305,0.200276157814995
0,65620809,66378905,4587656,90882019,0,1520748,1577154,116935,498034252305,0.201159527846266
0,65608909,66364905,4604466,91429019,0,1522748,1580054,117625,498017252305,0.202071285073477
0,65577711,66348105,4631986,91798019,0,1534158,1586864,118405,497997252305,0.202764023596264
0,65561811,66341006,4636386,92168019,0,1539968,1593984,119805,497993052305,0.203747256520196
0,65531111,66357406,4632996,93138019,0,1550968,1597784,120895,497971552305,0.204563732257597
0,65515111,66338108,4650406,93787019,0,1557078,1607094,121785,497950052305,0.205471973269598
0,65490612,66349210,4644606,94154019,0,1561488,1616894,122885,497936952305,0.206324195934653
0,65454413,66335710,4684106,94624019,0,1568498,1619854,124485,497913652305,0.207171168334003
0,65452114,66330812,4682436,95111019,0,1571718,1624354,125955,497879452305,0.208047292442591
0,65448114,66305212,4697066,95789019,0,1575618,1630764,126825,497842052305,0.208784684625852
0,65425814,66291912,4724876,96197019,0,1577938,1633364,127715,497834152305,0.209617442923872
0,65395715,66303812,4722296,96175019,0,1587638,1641484,128895,497823652305,0.210401086420261
0,65389015,66283814,4731916,96745019,0,1593538,1651494,129875,497814352305,0.211165600495095
0,65360415,66278116,4748536,97454019,0,1602738,1657794,130355,497783552305,0.212051694936535
0,65345016,66243117,4785936,97844019,0,1607748,1663404,131355,497782152305,0.212935017997113
0,65314118,66246217,4794466,97992019,0,1618258,1669904,132625,497762152305,0.213696205284325
0,65307619,66226617,4802086,98651019,0,1624378,1679504,133505,497760452305,0.214487530325436
0,65293519,66211118,4820796,99251019,0,1627808,1686124,134195,497748952305,0.215316422455761
0,65289621,66166519,4852536,99716019,0,1632018,1690834,134755,497737352305,0.216150262930001
0,65272722,66152719,4869956,99783019,0,1638848,1695234,135835,497695852305,0.217119372211838
0,65258522,66113320,4905876,100032019,0,1642248,1704834,136515,497666652305,0.218148236884397
0,65228922,66115520,4913286,100461019,0,1652368,1712144,137905,497655352305,0.219067060573993
0,65188822,66119920,4929986,100598019,0,1662768,1718244,138605,497644152305,0.219999054742678
0,65169223,66125821,4926696,101507019,0,1671988,1722554,139195,497602452305,0.220893004101933
0,65164224,66112122,4934296,102363019,0,1676788,1726554,140395,497591352305,0.221702711419134
0,65163825,66084422,4950726,102611019,0,1676588,1734554,141265,497560952305,0.222508941819005
0,65151226,66055822,4977346,103049019,0,1679898,1743854,142045,497549652305,0.223475762610789
0,65146427,66049622,4971756,103418019,0,1685108,1750584,143235,497519452305,0.224417808562521
0,65141727,66010922,4998496,103846019,0,1689928,1758994,143995,497459952305,0.225417050510578
0,65115429,66023124,4998126,104383019,0,1696558,1767304,144665,497440752305,0.226250617702582
0,65098030,66010625,5005746,104611019,0,1704468,1780704,145345,497410552305,0.227071518152823
0,65072631,65986126,5045276,104759019,0,1709978,1784614,146515,497399552305,0.227964331473446
0,65069131,65937427,5082896,104966019,0,1713688,1793224,147395,497388252305,0.228922299115919
0,65042733,65931627,5100516,105305019,0,1720188,1798324,149075,497359852305,0.229884134676998
0,65016934,65938528,5104726,105652019,0,1725898,1802244,150465,497339452305,0.23081217120341
0,64991935,65942128,5111936,106110019,0,1730898,1809764,151955,497338952305,0.231793541587485
0,64977835,65912228,5136256,106577019,0,1735118,1819664,153335,497309452305,0.232753685982926
0,64965136,65887528,5162876,106807019,0,1738928,1824584,154415,497268152305,0.233502352790436
0,64956636,65859630,5182096,107384019,0,1746428,1833404,155695,497247552305,0.234543418582062
0,64920736,65873330,5188436,107934019,0,1753448,1840004,156555,497235952305,0.235637833533894
0,64895837,65856830,5203956,108210019,0,1768958,1847414,157435,497196652305,0.236559263206229
0,64888439,65820931,5231476,108807019,0,1776468,1852924,158915,497163952305,0.237587951294339
0,64873642,65824732,5229246,109465019,0,1781178,1859024,159945,497143252305,0.238408272185057
0,64854542,65799432,5244466,110105019,0,1790288,1874134,161725,497132552305,0.239415936295227
0,64841042,65792633,5250366,110461019,0,1794208,1880344,163425,497115152305,0.240398003458628
0,64824942,65768834,5274796,110918019,0,1800918,1884264,164495,497092652305,0.241505209260911
0,64809744,65758035,5280936,111384019,0,1805838,1895964,165555,497071152305,0.242225458309366
0,64795645,65732435,5308056,111810019,0,1809668,1902084,167235,497039652305,0.243194297790031
